Source_Name,Organization,Year,Quarter,PWS_ID,Violation_Type,Violation_Category_Code,Is_Health_Based,Enforcement_Action_Type_Code,Is_Major_Violation,LATITUDE,LONGITUDE,Site_name,PWS_Name,Population_Served,PWS_Type
2014_Q1_violation_report.xlsx,PVPC,2014,Q1,1033000,Record Keeping,Other,N,SFL,-,42.20480042,-73.0063198,LONG POND RESERVOIR (01S),BLANDFORD WATER DEPT,874,Community water system
2014_Q1_violation_report.xlsx,PVPC,2014,Q1,1033000,"Maximum Contaminant Level Violation, Average",MCL,Y,SFL,-,42.20480042,-73.0063198,LONG POND RESERVOIR (01S),CHESTER WATER DEPT,874,Community water system
2014_Q1_violation_report.xlsx,PVPC,2014,Q1,1033000,"Maximum Contaminant Level Violation, Average",MCL,Y,SFL,-,42.20480042,-73.0063198,LONG POND RESERVOIR (01S),GRISWOLDVILLE WATER DISTRICT,874,Community water system
2014_Q1_violation_report.xlsx,PVPC,2014,Q1,1033000,Treatment Technique (SWTR and GWR),TT,Y,SFL,-,42.20480042,-73.0063198,LONG POND RESERVOIR (01S),DEERFIELD FIRE DISTRICT,874,Community water system
2014_Q1_violation_report.xlsx,PVPC,2014,Q1,1033000,"Maximum Contaminant Level Violation, Monthly (TCR)",MCL,Y,SFL,-,42.20480042,-73.0063198,LONG POND RESERVOIR (01S),DEERFIELD FIRE DISTRICT,874,Community water system
2014_Q1_violation_report.xlsx,PVPC,2014,Q1,1033000,"Monitoring, Regular",MR,N,SFJ,N,42.20480042,-73.0063198,LONG POND RESERVOIR (01S),DEERFIELD FIRE DISTRICT,874,Community water system
2014_Q1_violation_report.xlsx,PVPC,2014,Q1,1033000,"Monitoring, Regular",MR,N,SFJ,N,42.20480042,-73.0063198,LONG POND RESERVOIR (01S),DEERFIELD FIRE DISTRICT,874,Community water system
2014_Q1_violation_report.xlsx,PVPC,2014,Q1,1033000,"Monitoring, Regular",MR,N,SFJ,N,42.20480042,-73.0063198,LONG POND RESERVOIR (01S),DEERFIELD FIRE DISTRICT,874,Community water system
2014_Q1_violation_report.xlsx,PVPC,2014,Q1,1033000,"Monitoring, Regular",MR,N,SFJ,N,42.20480042,-73.0063198,LONG POND RESERVOIR (01S),DEERFIELD FIRE DISTRICT,874,Community water system
2014_Q1_violation_report.xlsx,PVPC,2014,Q1,1033000,"Monitoring, Regular",MR,N,SFJ,N,42.20480042,-73.0063198,LONG POND RESERVOIR (01S),DEERFIELD FIRE DISTRICT,874,Community water system
2014_Q1_violation_report.xlsx,PVPC,2014,Q1,1033000,"Monitoring, Regular",MR,N,SFJ,N,42.20480042,-73.0063198,LONG POND RESERVOIR (01S),SOUTH DEERFIELD WATER SUPPLY DIST,874,Community water system
2014_Q1_violation_report.xlsx,PVPC,2014,Q1,1033000,"Monitoring, Regular",MR,N,SFJ,N,42.20480042,-73.0063198,LONG POND RESERVOIR (01S),SOUTH DEERFIELD WATER SUPPLY DIST,874,Community water system
